;0
1988-09-30;15.8021
1988-10-31;17.5187
1988-11-30;20.3076
1988-12-31;21.3725
1989-01-31;22.9985
1989-02-28;21.4693
1989-03-31;20.9979
1989-04-30;17.6665
1989-05-31;14.8827
1989-06-30;11.0509
1989-07-31;10.7858
1989-08-31;14.2112
1989-09-30;15.6604
1989-10-31;17.6463
1989-11-30;20.1368
1989-12-31;22.5691
1990-01-31;23.5566
1990-02-28;22.2337
1990-03-31;21.2723
1990-04-30;18.1169
1990-05-31;14.3927
1990-06-30;11.0122
1990-07-31;11.2112
1990-08-31;13.2244
1990-09-30;16.5157
1990-10-31;18.7308
1990-11-30;21.1405
1990-12-31;22.4747
1991-01-31;23.2914
1991-02-28;22.7346
1991-03-31;20.9049
1991-04-30;18.5457
1991-05-31;15.1158
1991-06-30;11.2354
1991-07-31;11.1541
1991-08-31;12.5173
1991-09-30;16.3029
1991-10-31;18.7878
1991-11-30;20.9379
1991-12-31;22.2689
1992-01-31;24.3328
1992-02-29;23.9984
1992-03-31;22.2503
1992-04-30;19.3442
1992-05-31;14.6127
1992-06-30;11.4332
1992-07-31;11.694
1992-08-31;12.663
1992-09-30;17.2512
1992-10-31;18.8187
1992-11-30;20.3643
1992-12-31;22.9035
1993-01-31;24.2447
1993-02-28;22.3437
1993-03-31;21.8171
1993-04-30;17.6753
1993-05-31;14.8035
1993-06-30;11.5704
1993-07-31;12.856
1993-08-31;13.5878
1993-09-30;17.6816
1993-10-31;19.6433
1993-11-30;21.0269
1993-12-31;22.6601
1994-01-31;22.8568
1994-02-28;22.4284
1994-03-31;21.2729
1994-04-30;18.5141
1994-05-31;14.6281
1994-06-30;10.5291
1994-07-31;10.1471
1994-08-31;13.0325
1994-09-30;16.9688
1994-10-31;18.2706
1994-11-30;21.0284
1994-12-31;22.8259
1995-01-31;23.8669
1995-02-28;24.6054
1995-03-31;21.544
1995-04-30;17.5346
1995-05-31;14.7795
1995-06-30;11.2254
1995-07-31;10.6531
1995-08-31;13.9687
1995-09-30;17.1947
1995-10-31;18.2603
1995-11-30;20.7679
1995-12-31;21.0796
1996-01-31;23.6208
1996-02-29;22.6741
1996-03-31;20.5091
1996-04-30;17.8054
1996-05-31;14.9528
1996-06-30;11.7612
1996-07-31;9.640880000000001
1996-08-31;11.8018
1996-09-30;15.7501
1996-10-31;18.7576
1996-11-30;19.1827
1996-12-31;21.9325
1997-01-31;22.9872
1997-02-28;22.6801
1997-03-31;20.3646
1997-04-30;16.1788
1997-05-31;13.4963
1997-06-30;11.073
1997-07-31;11.3788
1997-08-31;14.1411
1997-09-30;17.5729
1997-10-31;19.5544
